NASA_Name,Canonical_Name,Canonical_Name_Status,ExoMAST_Query_Name
EPIC 220554210 c,EPIC 220554210 c,exact,EPIC 220554210 c
EPIC 220674823 b,EPIC 220674823 b,exact,EPIC 220674823 b
EPIC 220674823 c,EPIC 220674823 c,exact,EPIC 220674823 c
EPIC 228836835 b,EPIC 228836835 b,exact,EPIC 228836835 b
EPIC 229004835 b,EPIC 229004835 b,exact,EPIC 229004835 b
EPIC 246851721 b,EPIC 246851721 b,exact,EPIC 246851721 b
EPIC 248847494 b,EPIC 248847494 b,exact,EPIC 248847494 b
EPIC 249893012 b,EPIC 249893012 b,exact,EPIC 249893012 b
EPIC 249893012 c,EPIC 249893012 c,exact,EPIC 249893012 c
EPIC 249893012 d,EPIC 249893012 d,exact,EPIC 249893012 d
eps CrB b,epsilon CrB b,resolved,eps CrB b
eps Eri b,epsilon Eri b,resolved,eps Eri b
eps Ind A b,eps Ind A b,exact,eps Ind A b
eps Tau b,epsilon Tau b,resolved,eps Tau b
FU Tau b,FU Tau b,exact,FU Tau b
G 192-15 b,G 192-15 b,exact,G 192-15 b
G 192-15 c,G 192-15 c,exact,G 192-15 c
G 196-3 b,G 196-3 b,exact,G 196-3 b
G 261-6 b,G 261-6 b,exact,G 261-6 b
G 264-012 b,G 264-012 b,exact,G 264-012 b
G 264-012 c,G 264-012 c,exact,G 264-012 c
G 268-110 b,G 268-110 b,exact,G 268-110 b
G 9-40 b,G 9-40 b,exact,G 9-40 b
Gaia-1 b,Gaia-1 b,exact,Gaia-1 b
Gaia-2 b,Gaia-2 b,exact,Gaia-2 b
Gaia-4 b,Gaia-4 b,exact,Gaia-4 b
Gaia-5 b,Gaia-5 b,exact,Gaia-5 b
Gaia22dkvL b,Gaia22dkvL b,exact,Gaia22dkvL b
gam Cep b,gamma Cep b,resolved,gam Cep b
gam Lib b,gam Lib b,exact,gam Lib b
gam Lib c,gam Lib c,exact,gam Lib c
gam Psc b,gam Psc b,exact,gam Psc b
gam1 Leo b,gam 1 Leo b,resolved,gam1 Leo b
GJ 1002 b,GJ 1002 b,exact,GJ 1002 b
GJ 1002 c,GJ 1002 c,exact,GJ 1002 c
GJ 1061 b,GJ 1061 b,exact,GJ 1061 b
GJ 1061 c,GJ 1061 c,exact,GJ 1061 c
GJ 1061 d,GJ 1061 d,exact,GJ 1061 d
GJ 1132 b,GJ 1132 b,exact,GJ 1132 b
GJ 1132 c,GJ 1132 c,exact,GJ 1132 c
GJ 1137 c,GJ 1137 c,exact,GJ 1137 c
GJ 1148 b,HIP 57050 b,resolved,GJ 1148 b
GJ 1148 c,GJ 1148 c,exact,GJ 1148 c
GJ 1151 c,GJ 1151 c,exact,GJ 1151 c
GJ 1214 b,GJ 1214 b,exact,GJ 1214 b
GJ 1252 b,GJ 1252 b,exact,GJ 1252 b
GJ 1265 b,GJ 1265 b,exact,GJ 1265 b
GJ 1289 b,GJ 1289 b,exact,GJ 1289 b
GJ 143 b,GJ 143 b,exact,GJ 143 b
GJ 15 A b,GJ 15 A b,exact,GJ 15 A b
GJ 15 A c,GJ 15 A c,exact,GJ 15 A c
GJ 160.2 b,GJ 160.2 b,exact,GJ 160.2 b
GJ 163 b,GJ 163 b,exact,GJ 163 b
GJ 163 c,GJ 163 c,exact,GJ 163 c
GJ 163 d,GJ 163 d,exact,GJ 163 d
GJ 179 b,GJ 179 b,exact,GJ 179 b
GJ 180 b,GJ 180 b,exact,GJ 180 b
GJ 180 c,GJ 180 c,exact,GJ 180 c
GJ 180 d,GJ 180 d,exact,GJ 180 d
GJ 2030 b,GJ 2030 b,exact,GJ 2030 b
GJ 2030 c,GJ 2030 c,exact,GJ 2030 c
GJ 2056 b,GJ 2056 b,exact,GJ 2056 b
GJ 2126 b,GJ 2126 b,exact,GJ 2126 b
GJ 229 A c,GJ 229 A c,exact,GJ 229 A c
GJ 229 b,GJ 229 b,exact,GJ 229 b
GJ 238 b,GJ 238 b,exact,GJ 238 b
GJ 251 b,GJ 251 b,exact,GJ 251 b
GJ 251 c,GJ 251 c,exact,GJ 251 c
GJ 27.1 b,GJ 27.1 b,exact,GJ 27.1 b
GJ 273 b,GJ 273 b,exact,GJ 273 b
GJ 273 c,GJ 273 c,exact,GJ 273 c
GJ 3021 b,HD 1237 b,resolved,GJ 3021 b
GJ 3082 b,GJ 3082 b,exact,GJ 3082 b
GJ 3090 b,GJ 3090 b,exact,GJ 3090 b
GJ 3090 c,GJ 3090 c,exact,GJ 3090 c
GJ 3138 b,GJ 3138 b,exact,GJ 3138 b
GJ 3138 c,GJ 3138 c,exact,GJ 3138 c
GJ 3138 d,GJ 3138 d,exact,GJ 3138 d
GJ 317 b,GJ 317 b,exact,GJ 317 b
GJ 317 c,GJ 317 c,exact,GJ 317 c
GJ 3222 b,GJ 3222 b,exact,GJ 3222 b
GJ 328 b,GJ 328 b,exact,GJ 328 b
GJ 328 c,GJ 328 c,exact,GJ 328 c
GJ 3293 b,GJ 3293 b,exact,GJ 3293 b
GJ 3293 c,GJ 3293 c,exact,GJ 3293 c
GJ 3293 d,GJ 3293 d,exact,GJ 3293 d
GJ 3293 e,GJ 3293 e,exact,GJ 3293 e
GJ 3323 b,GJ 3323 b,exact,GJ 3323 b
GJ 3323 c,GJ 3323 c,exact,GJ 3323 c
GJ 3341 b,GJ 3341 b,exact,GJ 3341 b
GJ 3378 b,,unresolved,
GJ 338 B b,GJ 338 B b,exact,GJ 338 B b
GJ 341 b,GJ 341 b,exact,GJ 341 b
GJ 3470 b,GJ 3470 b,exact,GJ 3470 b
GJ 3473 b,GJ 3473 b,exact,GJ 3473 b
GJ 3473 c,GJ 3473 c,exact,GJ 3473 c
GJ 3512 b,GJ 3512 b,exact,GJ 3512 b
GJ 3512 c,GJ 3512 c,exact,GJ 3512 c
GJ 357 b,GJ 357 b,exact,GJ 357 b
GJ 357 c,GJ 357 c,exact,GJ 357 c
GJ 357 d,GJ 357 d,exact,GJ 357 d
GJ 3634 b,GJ 3634 b,exact,GJ 3634 b
GJ 367 b,GJ 367 b,exact,GJ 367 b
GJ 367 c,GJ 367 c,exact,GJ 367 c
GJ 367 d,GJ 367 d,exact,GJ 367 d
GJ 3779 b,GJ 3779 b,exact,GJ 3779 b
GJ 3929 b,GJ 3929 b,exact,GJ 3929 b
GJ 3929 c,GJ 3929 c,exact,GJ 3929 c
GJ 393 b,GJ 393 b,exact,GJ 393 b
GJ 3942 b,GJ 3942 b,exact,GJ 3942 b
GJ 3988 b,GJ 3988 b,exact,GJ 3988 b
GJ 3998 b,GJ 3998 b,exact,GJ 3998 b
GJ 3998 c,GJ 3998 c,exact,GJ 3998 c
GJ 3998 d,GJ 3998 d,exact,GJ 3998 d
GJ 411 b,GJ 411 b,exact,GJ 411 b
GJ 414 A b,GJ 414 A b,exact,GJ 414 A b
GJ 414 A c,GJ 414 A c,exact,GJ 414 A c
GJ 422 b,GJ 422 b,exact,GJ 422 b
GJ 4274 b,GJ 4274 b,exact,GJ 4274 b
GJ 4274 c,GJ 4274 c,exact,GJ 4274 c
GJ 4276 b,GJ 4276 b,exact,GJ 4276 b
GJ 433 b,GJ 433 b,exact,GJ 433 b
GJ 433 c,GJ 433 c,exact,GJ 433 c
GJ 433 d,GJ 433 d,exact,GJ 433 d
GJ 436 b,GJ 436 b,exact,GJ 436 b
GJ 463 b,GJ 463 b,exact,GJ 463 b
GJ 480 b,GJ 480 b,exact,GJ 480 b
GJ 486 b,GJ 486 b,exact,GJ 486 b
GJ 504 b,GJ 504 b,exact,GJ 504 b
GJ 508.2 b,GJ 508.2 b,exact,GJ 508.2 b
GJ 514 b,GJ 514 b,exact,GJ 514 b
GJ 536 b,GJ 536 b,exact,GJ 536 b
GJ 536 c,GJ 536 c,exact,GJ 536 c
GJ 581 b,GJ 581 b,exact,GJ 581 b
GJ 581 c,GJ 581 c,exact,GJ 581 c
GJ 581 e,GJ 581 e,exact,GJ 581 e
GJ 625 b,GJ 625 b,exact,GJ 625 b
GJ 649 b,GJ 649 b,exact,GJ 649 b
GJ 667 C b,GJ 667 C b,exact,GJ 667 C b
GJ 667 C c,GJ 667 C c,exact,GJ 667 C c
GJ 667 C e,GJ 667 C e,exact,GJ 667 C e
GJ 667 C f,GJ 667 C f,exact,GJ 667 C f
GJ 667 C g,GJ 667 C g,exact,GJ 667 C g
GJ 674 b,GJ 674 b,exact,GJ 674 b
GJ 676 A b,GJ 676 A b,exact,GJ 676 A b
GJ 676 A c,GJ 676 A c,exact,GJ 676 A c
GJ 676 A d,GJ 676 A d,exact,GJ 676 A d
GJ 676 A e,GJ 676 A e,exact,GJ 676 A e
GJ 680 b,GJ 680 b,exact,GJ 680 b
GJ 682 b,GJ 682 b,exact,GJ 682 b
GJ 682 c,GJ 682 c,exact,GJ 682 c
GJ 685 b,GJ 685 b,exact,GJ 685 b
GJ 687 b,GJ 687 b,exact,GJ 687 b
GJ 687 c,GJ 687 c,exact,GJ 687 c
GJ 720 A b,GJ 720 A b,exact,GJ 720 A b
GJ 724 b,GJ 724 b,exact,GJ 724 b
GJ 740 b,GJ 740 b,exact,GJ 740 b
GJ 806 b,GJ 806 b,exact,GJ 806 b
GJ 806 c,GJ 806 c,exact,GJ 806 c
GJ 832 b,GJ 832 b,exact,GJ 832 b
GJ 849 b,GJ 849 b,exact,GJ 849 b
GJ 849 c,GJ 849 c,exact,GJ 849 c
GJ 86 b,GJ 86 b,exact,GJ 86 b
GJ 876 b,GJ 876 b,exact,GJ 876 b
GJ 876 c,GJ 876 c,exact,GJ 876 c
GJ 876 d,GJ 876 d,exact,GJ 876 d
GJ 876 e,GJ 876 e,exact,GJ 876 e
GJ 887 b,GJ 887 b,exact,GJ 887 b
GJ 887 c,GJ 887 c,exact,GJ 887 c
GJ 887 d,GJ 887 d,exact,GJ 887 d
GJ 887 e,GJ 887 e,exact,GJ 887 e
GJ 896 A b,GJ 896 A b,exact,GJ 896 A b
GJ 900 b,GJ 900 b,exact,GJ 900 b
GJ 9066 c,GJ 9066 c,exact,GJ 9066 c
GJ 9404 b,GJ 9404 b,exact,GJ 9404 b
GJ 96 b,GJ 96 b,exact,GJ 96 b
GJ 9689 b,GJ 9689 b,exact,GJ 9689 b
GJ 9714 b,GJ 9714 b,exact,GJ 9714 b
GJ 9773 b,GJ 9773 b,exact,GJ 9773 b
GJ 9827 b,GJ 9827 b,exact,GJ 9827 b
GJ 9827 c,GJ 9827 c,exact,GJ 9827 c
GJ 9827 d,GJ 9827 d,exact,GJ 9827 d
Gl 378 b,Gl 378 b,exact,Gl 378 b
Gl 410 b,Gl 410 b,exact,Gl 410 b
Gl 49 b,Gl 49 b,exact,Gl 49 b
Gl 686 b,Gl 686 b,exact,Gl 686 b
Gl 725 A b,Gl 725 A b,exact,Gl 725 A b
Gliese 12 b,Gliese 12 b,exact,Gliese 12 b
GPX-1 b,GPX-1 b,exact,GPX-1 b
GQ Lup b,GQ Lup b,exact,GQ Lup b
GSC 06214-00210 b,GSC 06214-00210 b,exact,GSC 06214-00210 b
GU Psc b,GU Psc b,exact,GU Psc b
HAT-P-1 b,HAT-P-1 b,exact,HAT-P-1 b
HAT-P-11 b,HAT-P-11 b,exact,HAT-P-11 b
HAT-P-11 c,HAT-P-11 c,exact,HAT-P-11 c
HAT-P-12 b,HAT-P-12 b,exact,HAT-P-12 b
HAT-P-13 b,HAT-P-13 b,exact,HAT-P-13 b
HAT-P-13 c,HAT-P-13 c,exact,HAT-P-13 c
HAT-P-14 b,HAT-P-14 b,exact,HAT-P-14 b
HAT-P-15 b,HAT-P-15 b,exact,HAT-P-15 b
HAT-P-16 b,HAT-P-16 b,exact,HAT-P-16 b
HAT-P-17 b,HAT-P-17 b,exact,HAT-P-17 b
HAT-P-17 c,HAT-P-17 c,exact,HAT-P-17 c
HAT-P-18 b,HAT-P-18 b,exact,HAT-P-18 b
HAT-P-19 b,HAT-P-19 b,exact,HAT-P-19 b
HAT-P-2 b,HAT-P-2 b,exact,HAT-P-2 b
HAT-P-2 c,HAT-P-2 c,exact,HAT-P-2 c
HAT-P-20 b,HAT-P-20 b,exact,HAT-P-20 b
HAT-P-21 b,HAT-P-21 b,exact,HAT-P-21 b
HAT-P-22 b,HAT-P-22 b,exact,HAT-P-22 b
HAT-P-23 b,HAT-P-23 b,exact,HAT-P-23 b
HAT-P-24 b,HAT-P-24 b,exact,HAT-P-24 b
HAT-P-25 b,HAT-P-25 b,exact,HAT-P-25 b
HAT-P-26 b,HAT-P-26 b,exact,HAT-P-26 b
HAT-P-27 b,HAT-P-27 b,exact,HAT-P-27 b
HAT-P-28 b,HAT-P-28 b,exact,HAT-P-28 b
HAT-P-29 b,HAT-P-29 b,exact,HAT-P-29 b
HAT-P-3 b,HAT-P-3 b,exact,HAT-P-3 b
HAT-P-30 b,HAT-P-30 b,exact,HAT-P-30 b
HAT-P-31 b,HAT-P-31 b,exact,HAT-P-31 b
HAT-P-32 b,HAT-P-32 b,exact,HAT-P-32 b
HAT-P-33 b,HAT-P-33 b,exact,HAT-P-33 b
HAT-P-34 b,HAT-P-34 b,exact,HAT-P-34 b
HAT-P-35 b,HAT-P-35 b,exact,HAT-P-35 b
HAT-P-36 b,HAT-P-36 b,exact,HAT-P-36 b
HAT-P-37 b,HAT-P-37 b,exact,HAT-P-37 b
HAT-P-38 b,HAT-P-38 b,exact,HAT-P-38 b
HAT-P-39 b,HAT-P-39 b,exact,HAT-P-39 b
HAT-P-4 b,HAT-P-4 b,exact,HAT-P-4 b
HAT-P-40 b,HAT-P-40 b,exact,HAT-P-40 b
HAT-P-41 b,HAT-P-41 b,exact,HAT-P-41 b
HAT-P-42 b,HAT-P-42 b,exact,HAT-P-42 b
HAT-P-43 b,HAT-P-43 b,exact,HAT-P-43 b
HAT-P-44 b,HAT-P-44 b,exact,HAT-P-44 b
HAT-P-44 c,HAT-P-44 c,exact,HAT-P-44 c
HAT-P-45 b,HAT-P-45 b,exact,HAT-P-45 b
HAT-P-46 b,HAT-P-46 b,exact,HAT-P-46 b
HAT-P-49 b,HAT-P-49 b,exact,HAT-P-49 b
HAT-P-5 b,HAT-P-5 b,exact,HAT-P-5 b
HAT-P-50 b,HAT-P-50 b,exact,HAT-P-50 b
HAT-P-51 b,HAT-P-51 b,exact,HAT-P-51 b
HAT-P-52 b,HAT-P-52 b,exact,HAT-P-52 b
HAT-P-53 b,HAT-P-53 b,exact,HAT-P-53 b
HAT-P-54 b,HAT-P-54 b,exact,HAT-P-54 b
HAT-P-55 b,HAT-P-55 b,exact,HAT-P-55 b
HAT-P-56 b,HAT-P-56 b,exact,HAT-P-56 b
HAT-P-57 b,HAT-P-57 b,exact,HAT-P-57 b
HAT-P-58 b,HAT-P-58 b,exact,HAT-P-58 b
HAT-P-59 b,HAT-P-59 b,exact,HAT-P-59 b
HAT-P-6 b,HAT-P-6 b,exact,HAT-P-6 b
HAT-P-60 b,HAT-P-60 b,exact,HAT-P-60 b
